Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
09/08/2022,16:58:39:554,77078,813,35,3.389682,0.220119,0.370571,4.228864,3.158140,10.971326,10.960317,2.222828,0.828613,0.000000
09/08/2022,16:58:40:548,78072,1431,35,3.385906,0.254747,0.001613,5.335635,3.132270,10.631359,10.631359,2.168673,0.761230,0.000000
09/08/2022,16:58:41:559,79083,599,36,3.375462,0.181609,0.000747,5.026681,2.921716,9.983889,10.007983,2.053559,0.733032,0.000000
09/08/2022,16:58:42:538,80062,723,35,3.368201,0.191554,0.000980,4.402271,3.131771,10.949985,10.926319,2.219482,0.992310,0.000000
09/08/2022,16:58:43:560,81084,1896,35,3.372774,0.303723,0.000569,4.672980,3.384734,11.745655,11.741770,2.356518,0.807495,0.000000
09/08/2022,16:58:44:573,82097,1697,35,3.363147,0.223675,0.003852,5.693708,2.978744,10.049427,10.099030,2.051343,0.780396,0.000000
09/08/2022,16:58:45:571,83095,1656,35,3.359926,0.227278,0.001527,5.528041,3.104850,10.618481,10.569992,2.175876,0.781006,0.000000
09/08/2022,16:58:46:567,84091,890,36,3.353392,0.211824,0.100272,4.622910,3.120360,10.896887,10.909376,2.199284,0.831299,0.000000
09/08/2022,16:58:47:578,85102,1830,36,3.353842,0.309456,0.003908,4.554949,3.324865,11.246324,11.233836,2.281587,0.800049,0.000000
09/08/2022,16:58:48:575,86099,921,0,3.350808,0.265384,0.004285,4.481799,3.227762,11.005586,11.005586,2.243027,0.896973,0.000000
09/08/2022,16:58:49:571,87095,1940,35,3.349678,0.255565,0.000559,4.948207,3.134959,10.694511,10.683785,2.178227,1.282959,0.000000
09/08/2022,16:58:50:567,88091,1996,36,3.359724,0.555718,0.001243,4.494803,3.476766,11.324440,11.335810,2.207745,0.813965,0.000000
09/08/2022,16:58:51:560,89084,1397,35,3.360911,0.239541,0.000746,4.943102,3.235920,11.245804,11.245804,2.277849,0.760864,0.000000
09/08/2022,16:58:52:586,90110,1696,34,3.348788,0.215462,0.002993,4.380095,2.958304,10.079652,10.069511,2.048021,0.790283,0.000000
09/08/2022,16:58:53:567,91091,1562,35,3.349269,0.216282,0.001813,4.840557,3.208636,11.297036,11.330388,2.286104,0.775757,0.000000
09/08/2022,16:58:54:575,92099,1300,35,3.345356,0.228125,0.001009,3.883443,3.130574,10.780164,10.756856,2.184524,0.756958,0.000000
09/08/2022,16:58:55:570,93094,1963,36,3.342412,0.215281,0.001351,4.922049,3.113346,10.761462,10.761462,2.190968,0.800049,0.000000
09/08/2022,16:58:56:581,94105,801,35,3.337221,0.225992,0.248500,3.770095,3.115468,10.833985,10.833985,2.182666,0.832397,0.000000
09/08/2022,16:58:57:579,95103,1784,36,3.335047,0.267098,0.004959,4.450608,3.182644,10.875125,10.875125,2.194066,0.790039,0.000000
09/08/2022,16:58:58:591,96115,1850,36,3.337133,0.254003,0.003101,4.522219,3.315623,11.553625,11.553625,2.332057,0.800049,0.000000
09/08/2022,16:58:59:586,97110,850,35,3.328700,0.240043,0.005382,5.633328,3.042951,10.311017,10.300829,2.103421,0.846191,0.000000
09/08/2022,16:59:00:583,98107,751,36,3.323621,0.278947,0.002051,4.488393,3.139643,10.479847,10.490379,2.150891,0.856689,0.000000
09/08/2022,16:59:01:595,99119,799,35,3.329178,0.445811,0.003229,4.591847,3.431939,11.379781,11.379781,2.263933,0.874146,0.000000
09/08/2022,16:59:02:575,100099,1684,35,3.339771,0.441543,0.001774,4.265746,3.582849,12.020307,12.020307,2.390674,0.780762,0.000000
09/08/2022,16:59:03:583,101107,1696,35,3.340953,0.313832,0.002275,4.341140,3.311458,11.165448,11.165448,2.278708,0.785278,0.000000
09/08/2022,16:59:04:595,102119,1711,35,3.340260,0.275335,0.002215,4.475150,3.231233,10.994874,10.994874,2.233486,0.791992,0.000000
09/08/2022,16:59:05:592,103116,848,34,3.334532,0.227322,0.001040,4.550439,3.138724,10.826563,10.840555,2.204141,0.829834,0.000000
09/08/2022,16:59:06:601,104125,777,35,3.330437,0.263948,0.004657,4.690355,3.177864,10.833251,10.819062,2.201494,0.833252,0.000000
