Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
17/08/2022,17:33:34:804,27187111,1305,61,14.313025,3.795794,0.001452,5.145595,8.942841,23.208747,4.125802,0.729370,0.000000
17/08/2022,17:33:35:812,27188119,1486,0,14.213816,6.376693,0.004700,5.001406,11.382799,26.400663,3.983767,1.054443,0.000000
17/08/2022,17:33:36:884,27189191,2521,75,14.269141,10.253300,0.023881,5.474981,15.752162,32.247438,4.390470,1.030762,0.000000
17/08/2022,17:33:37:766,27190073,2436,72,14.507860,14.236222,0.010761,6.257356,20.504339,39.807388,5.115338,1.044189,0.000000
17/08/2022,17:33:38:898,27191205,1198,65,14.481689,7.690568,0.010761,5.977589,13.678918,30.940737,4.901178,0.977051,0.000000
17/08/2022,17:33:39:805,27192112,2266,87,14.773732,15.156002,0.074484,6.487659,21.718145,42.278168,5.310275,0.867676,0.859375
17/08/2022,17:33:40:810,27193117,2400,83,14.934667,13.281371,0.295486,6.165089,19.741946,38.076786,4.965583,1.007324,0.000000
17/08/2022,17:33:41:798,27194105,1349,72,14.734097,4.203599,0.191114,4.957499,9.352212,23.000415,3.909405,0.949951,0.000000
17/08/2022,17:33:42:818,27195125,2120,82,14.811749,11.057010,0.217735,5.662232,16.936978,34.694479,4.552777,0.989868,0.000000
17/08/2022,17:33:43:816,27196123,1235,76,14.775379,7.533986,0.195958,6.084386,13.814330,32.476633,4.926033,0.950928,0.000000
17/08/2022,17:33:44:795,27197102,1679,83,14.964573,13.494157,0.182922,6.411691,20.088770,40.232935,5.193865,0.958130,0.000000
17/08/2022,17:33:45:832,27198139,1131,70,14.870860,6.313782,0.257752,5.720958,12.292493,27.710719,4.609832,0.728271,0.000000
17/08/2022,17:33:46:802,27199109,2055,76,14.952102,11.205229,0.230754,5.632749,17.068732,34.923612,4.518901,1.162354,0.000000
17/08/2022,17:33:47:829,27200136,1502,75,14.930428,8.294867,0.211295,5.820300,14.326461,31.827946,4.679383,0.985840,0.000000
17/08/2022,17:33:48:804,27201111,3100,81,15.067107,11.922617,0.275015,6.462826,18.660458,38.480762,5.241052,0.948608,0.000000
17/08/2022,17:33:49:812,27202119,1465,73,15.025425,7.585449,0.240447,6.044171,13.870067,31.592673,4.875808,1.074951,0.000000
17/08/2022,17:33:50:809,27203116,1247,81,15.000709,9.027880,0.201192,5.110500,14.339572,30.412990,4.061442,0.955688,0.945312
17/08/2022,17:33:51:810,27204117,1491,72,14.997118,9.084617,0.292920,5.522211,14.899748,31.167762,4.414018,1.022217,0.000000
17/08/2022,17:33:52:813,27205120,2102,75,15.008555,9.432218,0.297554,5.587247,15.317019,32.007019,4.464764,1.034790,0.000000
17/08/2022,17:33:53:800,27206107,2318,67,14.893201,6.443890,0.256299,5.091329,11.791518,26.407270,4.026861,0.939941,0.976562
17/08/2022,17:33:54:830,27207137,2063,78,14.913486,10.065792,0.280626,5.122253,15.468671,32.286362,4.050667,1.003906,0.000000
