timestamp,Relative timestamp(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-MSR Psys Power(Watts),Power-PECI Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
172006733,1364257,1457,49,8.086061,2.14965,0.129367,5.452474,6.953308,19.982922,19.982922,3.696404,0.755981,0.0
172007748,1365272,1113,50,8.066824,2.491201,0.119747,5.358887,7.516932,21.362799,21.362799,3.895676,0.896729,0.0
172008742,1366266,1418,49,8.057696,2.96167,0.124756,5.480085,7.812439,21.25623,21.25623,3.738975,0.750977,0.0
172009739,1367263,1657,47,7.980254,1.141793,0.064025,5.216471,5.85869,18.381775,18.381775,3.684192,0.775391,0.914062
172010739,1368263,1160,49,7.903597,1.168857,0.065195,4.835862,5.813863,18.058342,18.058342,3.617603,0.74646,0.0
172011755,1369279,1112,48,7.862838,1.969158,0.12628,5.30599,6.753051,19.603466,19.603466,3.681255,0.772583,0.0
172012735,1370259,1496,49,7.858326,2.727394,0.127553,5.610875,7.74117,21.655886,21.655886,3.886707,0.778564,0.0
172013750,1371274,1596,48,7.83135,2.290115,0.151987,4.76888,7.092159,20.067599,20.047122,3.668649,0.765137,0.0
172014748,1372272,1397,48,7.785019,1.844482,0.077942,5.03976,6.533752,19.204126,19.223065,3.641524,0.755737,0.0
172015746,1373270,1866,47,7.709495,1.063676,0.067306,5.887858,5.620823,17.610294,17.635368,3.553555,0.788696,0.0
172016746,1374270,1525,49,7.724931,3.088764,0.14405,4.923503,8.147479,22.305781,22.280706,3.896832,0.76062,0.0
172017746,1375270,1197,48,7.655747,1.131626,0.060292,5.0354,5.767884,17.987976,17.987976,3.625305,0.766235,0.0
172018762,1376286,1697,47,7.592924,1.208447,0.076015,5.070278,5.875408,18.265381,18.265381,3.632874,0.772705,0.0
