Date,Time,Relative Time(mS),CPU0-Frequency(MHz),CPU0-DTS(Degree C),Power-EWMA Power(Watts),Power-IA Power(Watts),Power-GT Power(Watts),Power-Rest of Package Power(Watts),Power-Package Power(Watts),Power-Effective EWMA PeciMmio(Watts),Power-MSR Psys Power(Watts),Power-SA Power(Watts),Voltage-IA Target voltage(Volts),Voltage-GT Target Voltage(Volts)
18/08/2022,12:14:22:117,5589740,1085,45,6.408751,1.482766,0.081976,4.723049,6.287791,6.558138,19.005646,3.782763,0.765869,0.953125
18/08/2022,12:14:23:123,5590746,2096,46,6.443428,2.048413,0.083992,5.242464,7.374869,6.587453,21.626326,4.201001,0.728394,0.000000
18/08/2022,12:14:24:117,5591740,1097,46,6.433700,1.407987,0.082349,4.682874,6.173210,6.572540,18.568931,3.719205,0.733521,0.000000
18/08/2022,12:14:25:123,5592746,1345,45,6.414000,1.267247,0.080807,4.530724,5.878779,6.922070,17.950427,3.602797,0.740967,0.000000
18/08/2022,12:14:26:113,5593736,1312,45,6.422797,2.026003,0.081198,4.551893,6.659094,6.912631,18.793252,3.600832,0.730103,0.000000
18/08/2022,12:14:27:123,5594746,1451,45,6.416402,1.495423,0.082182,4.664319,6.241924,6.888917,18.941798,3.748977,0.793091,0.000000
18/08/2022,12:14:28:136,5595759,1373,46,6.444554,2.055052,0.083477,5.059083,7.197612,6.900052,20.924302,4.039621,0.738770,0.000000
18/08/2022,12:14:29:111,5596734,1230,46,6.434516,1.444439,0.081621,4.641323,6.167383,6.873519,18.388727,3.671156,0.733154,0.000000
18/08/2022,12:14:30:132,5597755,1251,45,6.419036,1.345528,0.081881,4.562559,5.989968,6.842784,18.046770,3.627930,0.763184,0.921875
18/08/2022,12:14:31:128,5598751,1314,45,6.407884,1.382288,0.082795,4.648117,6.113200,6.816154,18.402876,3.688208,0.725220,0.000000
18/08/2022,12:14:32:135,5599758,987,45,6.406444,1.514765,0.084184,4.768376,6.367325,6.800237,19.278092,3.816998,0.817017,0.921875
18/08/2022,12:14:33:128,5600751,1285,47,6.459384,2.790515,0.078621,5.004943,7.874079,6.852213,21.705590,4.005455,0.726440,0.000000
18/08/2022,12:14:34:135,5601758,1758,46,6.453331,1.549013,0.083800,4.655717,6.288530,6.832263,18.558937,3.690625,0.768188,0.921875
18/08/2022,12:14:35:125,5602748,1358,43,6.436203,1.292698,0.083681,4.600707,5.977086,6.801476,18.115210,3.650423,0.737671,0.000000
18/08/2022,12:14:36:134,5603757,1459,45,6.423746,1.395971,0.083005,4.604914,6.083891,6.776130,18.296860,3.663342,0.770386,0.000000
18/08/2022,12:14:37:128,5604751,1302,46,6.423873,1.559088,0.085776,4.782398,6.427262,6.763559,19.341733,3.845699,0.776489,0.000000
18/08/2022,12:14:38:137,5605760,1332,45,6.444400,1.866300,0.085719,5.050076,7.002096,6.772027,20.625211,4.025985,0.781250,0.921875
18/08/2022,12:14:39:126,5606749,1929,46,6.433290,1.427242,0.095670,4.612877,6.135789,6.749122,18.442356,3.668642,0.727661,0.000000
18/08/2022,12:14:40:135,5607758,1123,45,6.422687,1.368843,0.096248,4.667707,6.132798,6.727375,18.694531,3.720553,0.745239,0.000000
18/08/2022,12:14:41:123,5608746,979,45,6.407172,1.365495,0.093789,4.533280,5.992565,6.700869,17.962888,3.594850,0.732178,0.000000
18/08/2022,12:14:42:147,5609770,2109,45,6.407507,1.505246,0.091615,4.819800,6.416661,6.690830,19.538671,3.859979,0.763916,0.000000
18/08/2022,12:14:43:122,5610745,1528,47,6.470777,2.853408,0.092297,5.190150,8.135855,6.743677,22.537187,4.170278,0.756714,0.921875
18/08/2022,12:14:44:143,5611766,2048,46,6.465951,1.501878,0.091741,4.738434,6.332053,6.729358,19.018455,3.786619,0.825806,0.000000
18/08/2022,12:14:45:137,5612760,1311,45,6.449069,1.344326,0.095076,4.564020,6.003423,6.702862,17.828662,3.600536,0.886108,0.921875
18/08/2022,12:14:46:130,5613753,1397,45,6.433697,1.367273,0.090570,4.558233,6.016077,6.678456,18.111599,3.615872,0.739258,0.000000
18/08/2022,12:14:47:141,5614764,1211,46,6.433618,1.591217,0.091338,4.748902,6.431457,6.669705,19.282197,3.799101,0.826660,0.000000
18/08/2022,12:14:48:138,5615761,1273,47,6.488846,2.808462,0.090798,5.063926,7.963186,6.716456,22.048497,4.077148,0.739990,0.000000
18/08/2022,12:14:49:131,5616754,1443,46,6.469330,1.280514,0.091032,4.569209,5.940755,6.688863,17.765267,3.586702,0.811035,0.000000
18/08/2022,12:14:50:136,5617759,898,46,6.461732,1.443392,0.093059,4.718638,6.255089,6.673464,18.896287,3.769721,0.740601,0.000000
18/08/2022,12:14:51:147,5618770,1597,45,6.441537,1.331246,0.091795,4.476599,5.899640,6.645689,17.628664,3.517651,0.728027,0.000000
